order_item_id,order_id,product_id,quantity,unit_price
1,1,4,4,188.14
2,1,9,2,72.41
3,1,4,4,190.69
4,2,9,1,41.25
5,2,5,1,149.91
6,3,9,2,64.16
7,3,10,4,170.01
8,4,10,1,98.64
9,4,7,4,134.62
10,5,6,1,90.6
11,5,9,1,156.8
12,5,9,4,77.25
13,6,1,3,142.16
14,6,10,4,131.2
15,7,4,1,155.25
16,7,9,2,83.87
17,7,6,3,94.53
18,8,9,1,79.82
19,8,9,2,106.14
20,8,9,2,88.09
21,9,6,2,188.5
22,9,7,4,163.6
23,10,1,3,94.34
24,10,1,2,128.9
25,11,3,1,160.7
26,11,5,1,169.14
27,11,2,1,174.28
28,12,5,2,57.39
29,13,6,3,18.56
30,14,9,2,133.05
31,14,5,4,142.01
32,15,2,1,65.84
33,15,6,4,160.26
34,16,5,2,193.28
35,17,4,1,82.48
36,18,3,4,142.4
37,18,7,2,195.51
38,18,9,4,48.52
39,19,10,3,133.67
40,19,7,1,148.8
41,20,1,3,18.79
