order_id,customer_id,order_date,total_amount,status
1,1,2025-09-16,1660.14,completed
2,1,2025-09-17,191.16,completed
3,9,2025-09-18,808.36,completed
4,9,2025-09-19,637.12,completed
5,6,2025-09-20,556.4,completed
6,1,2025-09-21,951.28,completed
7,3,2025-09-22,606.58,completed
8,5,2025-09-23,468.28,completed
9,1,2025-09-24,1031.4,completed
10,7,2025-09-25,540.82,completed
11,9,2025-09-26,504.12,completed
12,8,2025-09-27,114.78,completed
13,10,2025-09-28,55.68,completed
14,3,2025-09-29,834.14,completed
15,8,2025-09-30,706.88,completed
16,5,2025-10-01,386.56,completed
17,7,2025-10-02,82.48,completed
18,1,2025-10-03,1154.7,completed
19,1,2025-10-04,549.81,completed
20,3,2025-10-05,56.37,completed
