payment_id,order_id,payment_method,payment_date,amount,payment_status
1,1,card,2025-09-17,1660.14,paid
2,2,paypal,2025-09-18,191.16,paid
3,3,paypal,2025-09-19,808.36,paid
4,4,bank_transfer,2025-09-20,637.12,paid
5,5,card,2025-09-21,556.4,paid
6,6,paypal,2025-09-22,951.28,paid
7,7,bank_transfer,2025-09-23,606.58,paid
8,8,paypal,2025-09-24,468.28,paid
9,9,card,2025-09-25,1031.4,paid
10,10,card,2025-09-26,540.82,paid
11,11,bank_transfer,2025-09-27,504.12,paid
12,12,card,2025-09-28,114.78,paid
13,13,bank_transfer,2025-09-29,55.68,paid
14,14,card,2025-09-30,834.14,paid
15,15,bank_transfer,2025-10-01,706.88,paid
16,16,paypal,2025-10-02,386.56,paid
17,17,card,2025-10-03,82.48,paid
18,18,bank_transfer,2025-10-04,1154.7,paid
19,19,bank_transfer,2025-10-05,549.81,paid
20,20,bank_transfer,2025-10-06,56.37,paid
